Профиль,Подтип,"h, мм","b, мм","s, мм","t, мм","R, мм","А, см2","M, кг","Ix, см4","Wx, см3","ix, см","Sx, см3","Iy, см4","Wy, см3","iy, см"
10Б1,"балочный нормальный",100.0,55.0,4.1,5.7,7.0,10.32,8.1,171.01,34.2,40.7,19.7,15.92,5.79,12.42
12Б1,"балочный нормальный",117.6,64.0,3.8,5.1,7.0,11.03,8.7,257.36,43.8,48.3,24.94,22.39,7.0,14.25
12Б2,"балочный нормальный",120.0,64.0,4.4,6.3,7.0,13.21,10.4,317.75,53.0,49.04,30.36,27.67,8.65,14.47
14Б1,"балочный нормальный",137.4,73.0,3.8,5.6,7.0,13.39,10.5,434.86,63.3,56.98,35.8,36.42,9.98,16.49
14Б2,"балочный нормальный",140.0,73.0,4.7,6.9,7.0,16.43,12.9,541.22,77.3,57.4,44.17,44.92,12.31,16.54
16Б1,"балочный нормальный",157.0,82.0,4.0,5.9,9.0,16.18,12.7,689.28,87.8,65.27,49.55,54.43,13.27,18.34
16Б2,"балочный нормальный",160.0,82.0,5.0,7.4,9.0,20.09,15.8,869.29,108.7,65.78,61.93,68.31,16.66,18.44
18Б1,"балочный нормальный",177.0,91.0,4.3,6.5,9.0,19.58,15.4,1062.74,120.1,73.68,67.66,81.89,18.0,20.45
18Б2,"балочный нормальный",180.0,91.0,5.3,8.0,9.0,23.95,18.8,1316.96,146.3,74.16,83.21,100.85,22.16,20.52
20Б0,"балочный нормальный",198.0,99.0,4.5,7.0,11.0,23.18,18.2,1581.56,159.8,82.6,89.88,113.62,22.95,22.14
20Б1,"балочный нормальный",200.0,100.0,5.5,8.0,11.0,27.16,21.3,1844.26,184.4,82.41,104.73,133.91,26.78,22.21
20Б2,"балочный нормальный",203.0,101.0,6.5,9.5,11.0,32.19,25.3,2218.49,218.6,83.02,124.99,163.93,32.46,22.57
20Б3,"балочный нормальный",208.0,102.0,8.0,12.0,11.0,40.24,31.6,2852.62,274.3,84.2,158.46,213.5,41.86,23.03
25Б1,"балочный нормальный",248.0,124.0,5.0,8.0,12.0,32.68,25.7,3537.11,285.3,104.04,159.68,254.85,41.11,27.93
25Б2,"балочный нормальный",250.0,125.0,6.0,9.0,12.0,37.66,29.6,4051.73,324.1,103.73,182.93,293.85,47.02,27.93
25Б3,"балочный нормальный",255.0,126.0,7.5,11.5,12.0,47.62,37.4,5238.16,410.8,104.88,233.88,384.79,61.08,28.43
25Б4,"балочный нормальный",260.0,127.0,9.0,14.0,12.0,57.68,45.3,6481.01,498.5,106.0,286.25,480.07,75.6,28.85
30Б1,"балочный нормальный",298.0,149.0,5.5,8.0,13.0,40.8,32.0,6318.22,424.0,124.44,237.53,442.0,59.33,32.91
30Б2,"балочный нормальный",300.0,150.0,6.5,9.0,13.0,46.78,36.7,7209.26,480.6,124.14,271.06,507.53,67.67,32.94
30Б3,"балочный нормальный",305.0,151.0,8.0,11.5,13.0,58.74,46.1,9254.92,606.9,125.52,344.37,661.88,87.67,33.57
30Б4,"балочный нормальный",310.0,152.0,9.5,14.0,13.0,70.8,55.6,11381.41,734.3,126.79,419.4,822.37,108.21,34.08
35Б1,"балочный нормальный",346.0,174.0,6.0,9.0,14.0,52.68,41.4,11094.49,641.3,145.12,358.09,791.54,90.98,38.76
35Б2,"балочный нормальный",350.0,175.0,7.0,11.0,14.0,63.14,49.6,13559.01,774.8,146.54,433.96,984.34,112.5,39.48
35Б3,"балочный нормальный",355.0,176.0,8.5,13.5,14.0,77.08,60.5,16797.02,946.3,147.62,533.54,1229.36,139.7,39.94
